,count,references
See Fifth Report of the Select Committee on India Affairs,2,Fifth Report of the Select Committee on India Affairs
See Astronomy and Geography,2,Astronomy and Geography
See Nile,2,Nile
See Alcoran,2,Alcoran
See Poland,2,Poland
See Broach,2,Broach
See Algebra and Arithmetic,2,Algebra and Arithmetic
See Journal de Physique,2,Journal de Physique
See Evidence of T,2,Evidence of T
See Geometry,2,Geometry
See Aeronautics,2,Aeronautics
See Communications to the Board of Agriculture,2,Communications to the Board of Agriculture
See Afghanistan,2,Afghanistan
See Eustyle,2,Eustyle
See Polytheism,2,Polytheism
See the article Cohesion,2,the article Cohesion
"See Vegetable
Physiology",2,"Vegetable
Physiology"
See Bankruptcy,2,Bankruptcy
See Fifth Report,2,Fifth Report
See Edinburgh Phil,2,Edinburgh Phil
See Sect,2,Sect
See Pneumatics,2,Pneumatics
See the article Linraries,2,the article Linraries
See Sweden,2,Sweden
See Fount,2,Fount
See Apparitions,2,Apparitions
See article Bridge,2,article Bridge
See Dry Rot),2,Dry Rot)
See Duel,2,Duel
See History of Australasia,2,History of Australasia
See the article Metaphysics,2,the article Metaphysics
See Degeer,2,Degeer
See Cyanite,2,Cyanite
See Note CC,2,Note CC
See Esquire,2,Esquire
See Costaz,2,Costaz
See Eloge Historique de M,2,Eloge Historique de M
See article Egypt,2,article Egypt
"See Appen
dix to Ferguson’s Lectures",2,"Appen
dix to Ferguson’s Lectures"
See House of Commons Papers,2,House of Commons Papers
See the article Wool,2,the article Wool
See High,2,High
"See Monotriglyph and Ditri
glyph",1,"Monotriglyph and Ditri
glyph"
See an interesting memoir (which we did not receive till the present pages were in types,1,an interesting memoir (which we did not receive till the present pages were in types
See Cemetery,1,Cemetery
See Myristica,1,Myristica
See also Hewlett’s Vindication,1,also Hewlett’s Vindication
"See Philosophical
Transactions",1,"Philosophical
Transactions"
See also some valuable experiments by him on this subject,1,also some valuable experiments by him on this subject
See Nigritia,1,Nigritia
See Des Progreset de VEtat actuel de la Reforme Penitentiaire,1,Des Progreset de VEtat actuel de la Reforme Penitentiaire
See Za Republique Romaine,1,Za Republique Romaine
"See Medi
cine",1,"Medi
cine"
See Travels in Arabia,1,Travels in Arabia
See the Commentarii Acad- Petropoliiana,1,the Commentarii Acad- Petropoliiana
See Feojdal System,1,Feojdal System
"See the Dissertations on
the History of Physical and Mathematical Science prefix
ed to this work",1,"the Dissertations on
the History of Physical and Mathematical Science prefix
ed to this work"
See Edinburqh Review,1,Edinburqh Review
See Iron,1,Iron
See Transylvania,1,Transylvania
See him now ! yonder,1,him now ! yonder
See Calendar,1,Calendar
See our Article Achromatic Glasses,1,our Article Achromatic Glasses
"See likewise the same author’s Principj di Scienza nuova
d'intomo alia comune Natura delle Nazioni",1,"likewise the same author’s Principj di Scienza nuova
d'intomo alia comune Natura delle Nazioni"
See Hanse Towns,1,Hanse Towns
See Chalmers’s History of the Colleges,1,Chalmers’s History of the Colleges
"See Q Q m
Fig",1,"Q Q m
Fig"
"See Muller’s
Dorier",1,"Muller’s
Dorier"
See likewise Imperialis Musoeum Historicum,1,likewise Imperialis Musoeum Historicum
See Memoires du Museum,1,Memoires du Museum
See Time,1,Time
See Canicula,1,Canicula
"See likewise Dr Ward’s Lives of the Professors of Gresham
v-uuege",1,"likewise Dr Ward’s Lives of the Professors of Gresham
v-uuege"
"See Latreille’s observations in the 7th and 8th volume of the Memoiret
du Museum d'Histoire Naturelle",1,"Latreille’s observations in the 7th and 8th volume of the Memoiret
du Museum d'Histoire Naturelle"
See Summary of Egyptian Mythology,1,Summary of Egyptian Mythology
See Adelung,1,Adelung
See Pycnite,1,Pycnite
"See Crystal
lization",1,"Crystal
lization"
See Biot’s Recherches sur les Mouvemens ties MotZcules de Lumiere,1,Biot’s Recherches sur les Mouvemens ties MotZcules de Lumiere
See the article Alps,1,the article Alps
"See Corus and Mea-
Ho sure",1,"Corus and Mea-
Ho sure"
See Bayle’s Dictionary ; Bossut,1,Bayle’s Dictionary ; Bossut
See Memoirs of the Royal Irish Academy 1835,1,Memoirs of the Royal Irish Academy 1835
See Froissart,1,Froissart
"See on this
therefore subject",1,"on this
therefore subject"
See Bisbop Stillingfleet,1,Bisbop Stillingfleet
See the engraving given by Zoega of this obelisk,1,the engraving given by Zoega of this obelisk
See Bouchette’s Topographical and Statistical Description of the British Dominions in North America,1,Bouchette’s Topographical and Statistical Description of the British Dominions in North America
See Notes to King’s Origin of Evil,1,Notes to King’s Origin of Evil
See his Kritik der reinen Vernunft,1,his Kritik der reinen Vernunft
"See Gem and Mi
neralogy",1,"Gem and Mi
neralogy"
See article Abyssinia,1,article Abyssinia
See Zoologie de la Coquille,1,Zoologie de la Coquille
See Gardening,1,Gardening
See § 3bb,1,§ 3bb
See Dr T,1,Dr T
See Philosoph,1,Philosoph
See Microscopic Objects,1,Microscopic Objects
See Gunnery and War,1,Gunnery and War
See Battle,1,Battle
See AEtna,1,AEtna
See Aristotle and Aristotelian Philosophy,1,Aristotle and Aristotelian Philosophy
See Blackstone’s Commentaries,1,Blackstone’s Commentaries
See Mandingo,1,Mandingo
See A«uila,1,A«uila
See Disease,1,Disease
"See also his Works   1744
John Bernoulli",1,"also his Works   1744
John Bernoulli"
"See Lithogra
phy",1,"Lithogra
phy"
See Old Sporting Magazine,1,Old Sporting Magazine
See Bentley,1,Bentley
See the articles Spondeus,1,the articles Spondeus
See I late CCCCXXXI,1,I late CCCCXXXI
See an article on this subject in the Foreign Quarterly Review,1,an article on this subject in the Foreign Quarterly Review
See Ficus,1,Ficus
See Balance,1,Balance
See Acclamation,1,Acclamation
