,count,references
"See upon this matter Menasse ben-Israel de Resurrectione Mortuorum; Basnage’s History of the Jews; and Calmet s Dissertation upon
the Sects of the Jews",1,"upon this matter Menasse ben-Israel de Resurrectione Mortuorum; Basnage’s History of the Jews; and Calmet s Dissertation upon
the Sects of the Jews"
See Harriot,1,Harriot
"See Whittaker’s History of Craven ; May’s History of
the Parliament; Whitelock’s Memorials; Ludlow’s Me
moirs ; Clarendon’s History of the Rebellion",1,"Whittaker’s History of Craven ; May’s History of
the Parliament; Whitelock’s Memorials; Ludlow’s Me
moirs ; Clarendon’s History of the Rebellion"
"See the life ot
Brissot",1,"the life ot
Brissot"
See also Treatise on the Collieries and Coal Trade,1,also Treatise on the Collieries and Coal Trade
See Evidence before Committee of Lords,1,Evidence before Committee of Lords
See the article Commentary,1,the article Commentary
See Tall and High,1,Tall and High
See Blackburne’s Confessional,1,Blackburne’s Confessional
See Moller,1,Moller
See Vita N,1,Vita N
See Maine,1,Maine
"See likewise Dr Sullivan’s Historical Treatise on the Feu-
io a!^ ^ie Constitution and Laws of England",1,"likewise Dr Sullivan’s Historical Treatise on the Feu-
io a!^ ^ie Constitution and Laws of England"
See Chemistry and Mineralogy,1,Chemistry and Mineralogy
See the work of Klaproth,1,the work of Klaproth
See the story of the daughter of Neaera,1,the story of the daughter of Neaera
See Mui,1,Mui
See the note of the ensuing page,1,the note of the ensuing page
See the Article Linraries,1,the Article Linraries
See Mental Diseases,1,Mental Diseases
See Chigi,1,Chigi
See ISote Cc,1,ISote Cc
See Degradation,1,Degradation
See the account of Mr Arkwright,1,the account of Mr Arkwright
See Anatomy and Optics,1,Anatomy and Optics
See his Discourses on the several Dispensations of Revealed Religion,1,his Discourses on the several Dispensations of Revealed Religion
"See the article
cruiser",1,"the article
cruiser"
"See De-
lambre",1,"De-
lambre"
See Corundum,1,Corundum
"See Or
nithology",1,"Or
nithology"
See the Biographic Vniverselle,1,the Biographic Vniverselle
See Sidero-Calcite,1,Sidero-Calcite
See the article Deluge,1,the article Deluge
See Globe,1,Globe
See Lecture 59,1,Lecture 59
See Denmark,1,Denmark
See History of Invent,1,History of Invent
See Menagii Observationes in Diogenem Laertium,1,Menagii Observationes in Diogenem Laertium
See Moorcroft’s Journal,1,Moorcroft’s Journal
"See Poetical Re
mains of James I",1,"Poetical Re
mains of James I"
See Heth,1,Heth
See Barry,1,Barry
See Harmonica,1,Harmonica
See Jugurtha,1,Jugurtha
See Dr Lingard’s Hist,1,Dr Lingard’s Hist
See ver,1,ver
See Bahrein,1,Bahrein
See Ossemens Fossilcs,1,Ossemens Fossilcs
"See Metaphy
sics",1,"Metaphy
sics"
See Annales det Arts,1,Annales det Arts
See Boristhenes,1,Boristhenes
See Strabo Casaub,1,Strabo Casaub
See Safety Lamp,1,Safety Lamp
See Larus,1,Larus
See Nicolaiev,1,Nicolaiev
"See Lesson and
Fr",1,"Lesson and
Fr"
"See In
dorsement",1,"In
dorsement"
"See the article Hercu
laneum)",1,"the article Hercu
laneum)"
See Mechain,1,Mechain
See Peripteral,1,Peripteral
See AciUATiNrA,1,AciUATiNrA
See Arch,1,Arch
"See Edinburgh
Transactions",1,"Edinburgh
Transactions"
See Vancouver’s Voyage,1,Vancouver’s Voyage
See Sail,1,Sail
See Diographie Lniverselle,1,Diographie Lniverselle
See Hypophora,1,Hypophora
See the Art,1,the Art
"See Astronomical Tables and
Formulce",1,"Astronomical Tables and
Formulce"
See Memoir of a Map of Hindostan,1,Memoir of a Map of Hindostan
See Rope-Mak- cause them all to be guillotined at Paris,1,Rope-Mak- cause them all to be guillotined at Paris
"See Verd
Cape",1,"Verd
Cape"
"See Gori
This is a most able article",1,"Gori
This is a most able article"
"See P1fe fr°m the recent ^^ction of the generic tex-m'and Sll
CCCXL ",1,"P1fe fr°m the recent ^^ction of the generic tex-m'and Sll
CCCXL "
See India,1,India
"See Eng
land and Taxation",1,"Eng
land and Taxation"
See Fishery,1,Fishery
See Bachelor,1,Bachelor
See the article Cerutine,1,the article Cerutine
See Jaghire,1,Jaghire
See the works of Pasquier,1,the works of Pasquier
See Apophyge,1,Apophyge
See Post Office,1,Post Office
See Cross-bow,1,Cross-bow
See Probabilities,1,Probabilities
See Forster’s Voyage,1,Forster’s Voyage
See article Average,1,article Average
See History of Java,1,History of Java
See page 75,1,page 75
See the article Cerf in the Diction,1,the article Cerf in the Diction
"See Murphy’s Life and Genius of Fielding; F 8
Chalmers’ Biog",1,"Murphy’s Life and Genius of Fielding; F 8
Chalmers’ Biog"
See Navigation Inland,1,Navigation Inland
See Pius II,1,Pius II
See Allegri,1,Allegri
See Chrysostom Homil,1,Chrysostom Homil
See Memoires de Fuuchc,1,Memoires de Fuuchc
"See a discussion on this
subject in Thunmann’s Untersuchungen finer die Ges-
chichte der ostlich Europ",1,"a discussion on this
subject in Thunmann’s Untersuchungen finer die Ges-
chichte der ostlich Europ"
See Acre,1,Acre
See Tableau du Commerce de I'Egypte avec VEurope,1,Tableau du Commerce de I'Egypte avec VEurope
See Mid er's Physiology,1,Mid er's Physiology
"See the article er-
Cyanometer",1,"the article er-
Cyanometer"
See Hieroglyphics,1,Hieroglyphics
"See Fabricii
the domestics of Herod",1,"Fabricii
the domestics of Herod"
See British Binliography,1,British Binliography
"See Monop-
teros",1,"Monop-
teros"
See Barbadoes,1,Barbadoes
See also Hennert’s Cursus Matheseos applicata:,1,also Hennert’s Cursus Matheseos applicata:
See •,1,•
See Foundery,1,Foundery
"See Rees’s South Wales; Malkin’s Scenery of South
rales ; Parliamentary Returns",1,"Rees’s South Wales; Malkin’s Scenery of South
rales ; Parliamentary Returns"
See General Zoology,1,General Zoology
See our present article,1,our present article
"See Amol
a station inferior to her own",1,"Amol
a station inferior to her own"
See Curzola,1,Curzola
See 2 Macc,1,2 Macc
See Carey,1,Carey
See Fusee,1,Fusee
"See Biographic JJni-
verselle",1,"Biographic JJni-
verselle"
See Enharmonic,1,Enharmonic
See the Ossemens Fossiles,1,the Ossemens Fossiles
"See also Philosophical Ma
gazine for April 1825",1,"also Philosophical Ma
gazine for April 1825"
"See Henshall’s Disquisition prefixed to his edition of the Gothic
Gospel of St Matthew",1,"Henshall’s Disquisition prefixed to his edition of the Gothic
Gospel of St Matthew"
See Hist,1,Hist
See Hedera,1,Hedera
"See Stewart’s
Philosophy of the Active Powers",1,"Stewart’s
Philosophy of the Active Powers"
See Aldston-Moor,1,Aldston-Moor
See likewise Archdeacon Blaekburne’s Confessional,1,likewise Archdeacon Blaekburne’s Confessional
See Account of the Tusseh and Arrindy silk worms of Bengal,1,Account of the Tusseh and Arrindy silk worms of Bengal
See the article Balance (vol,1,the article Balance (vol
See the article Arts,1,the article Arts
See the valuable Report of this Committee (Session 1838); also the Edinburgh Review,1,the valuable Report of this Committee (Session 1838); also the Edinburgh Review
See Protector,1,Protector
See Polar Seas,1,Polar Seas
See likewise Duck de Usu et Authoritate Juris Civilis,1,likewise Duck de Usu et Authoritate Juris Civilis
See an abstract of his views in the Diction,1,an abstract of his views in the Diction
See Guizot’s Lectures on European Civilization,1,Guizot’s Lectures on European Civilization
See Asiatic Researches,1,Asiatic Researches
See Accommodation,1,Accommodation
See An Account of the disease lately prevalent in the General Penitentiary,1,An Account of the disease lately prevalent in the General Penitentiary
See Document No,1,Document No
See Account of the Family of Wren,1,Account of the Family of Wren
See Kajaago,1,Kajaago
See Dynamics and Mechanics,1,Dynamics and Mechanics
See Phosphorite,1,Phosphorite
"See Newton’s
Principia",1,"Newton’s
Principia"
"See the ar
ticle Brass",1,"the ar
ticle Brass"
See the articles Britain and Spain,1,the articles Britain and Spain
See Schotti Technica Curiosa,1,Schotti Technica Curiosa
See Prostyle,1,Prostyle
See Cartes,1,Cartes
See Archdeacon Blackburne’s Confessional,1,Archdeacon Blackburne’s Confessional
See also Theod,1,also Theod
See Incorporeal,1,Incorporeal
See Milligan’s Translation of Magendie,1,Milligan’s Translation of Magendie
"See likewise De principio
rerum naturalium ex mente Heracliti physici exercitatio",1,"likewise De principio
rerum naturalium ex mente Heracliti physici exercitatio"
See Parr,1,Parr
See Life-Preservers,1,Life-Preservers
See Emperor,1,Emperor
"See the Gentleman s Magazine; Chalmers’s edition of
the Biographical Dictionary",1,"the Gentleman s Magazine; Chalmers’s edition of
the Biographical Dictionary"
"See the
article Cush",1,"the
article Cush"
See the Bridgewater Treatise on Animal and Vegetable Physiology,1,the Bridgewater Treatise on Animal and Vegetable Physiology
See an Essay on the Keduction of the Faculties of the Mind,1,an Essay on the Keduction of the Faculties of the Mind
See Prob,1,Prob
See Duke,1,Duke
See Made,1,Made
See also Dejean s Catalogue,1,also Dejean s Catalogue
See Jury and Trial,1,Jury and Trial
See Mercantile Law,1,Mercantile Law
See also Durondel,1,also Durondel
See Poggendorf’s Annalen,1,Poggendorf’s Annalen
See 18 Edw,1,18 Edw
"See Jesus
Christ",1,"Jesus
Christ"
See Account of the Trig,1,Account of the Trig
See also Park’s Travels,1,also Park’s Travels
See Dr Plot’s Natural History of Staffordshire,1,Dr Plot’s Natural History of Staffordshire
See Reply to Mr Bosanqtiet's Observations on the Report of the Bullion Committee,1,Reply to Mr Bosanqtiet's Observations on the Report of the Bullion Committee
See Busbequii Epistola,1,Busbequii Epistola
See the Dissertations prefixed to this work,1,the Dissertations prefixed to this work
See the article Political Economy,1,the article Political Economy
See Note HH,1,Note HH
"See Hydro
statics",1,"Hydro
statics"
See N otes on King’s Origin of Evil,1,N otes on King’s Origin of Evil
See Organog,1,Organog
"See ""Virgil",1,"""Virgil"
See Kuster De Voce Media,1,Kuster De Voce Media
See the article Navigation,1,the article Navigation
See also Adams's Roman Antiquities,1,also Adams's Roman Antiquities
See Mezzotinto,1,Mezzotinto
See Danube,1,Danube
See Journal of Science,1,Journal of Science
See Acarus,1,Acarus
See Schol prop,1,Schol prop
See 0™™hology,1,0™™hology
See Abacus),1,Abacus)
See Guild,1,Guild
See Architecture and Building,1,Architecture and Building
See Fate,1,Fate
See Tacitus,1,Tacitus
See Mendicity,1,Mendicity
See article on Law of Moiitality,1,article on Law of Moiitality
"See Wreak
and Eye Navigation",1,"Wreak
and Eye Navigation"
See Mysteries,1,Mysteries
See Dr Hyde de Bel,1,Dr Hyde de Bel
See also Nonvellet Annates du Mus,1,also Nonvellet Annates du Mus
See Moral PniLOSopiiy,1,Moral PniLOSopiiy
See Avoirdupois,1,Avoirdupois
"See Ken
nedy’s Researches into the Nature and Affinity of Ancient
and Hindu Mythology",1,"Ken
nedy’s Researches into the Nature and Affinity of Ancient
and Hindu Mythology"
See \Vickliff,1,\Vickliff
See the Articles Bell-Rock Lighthouse,1,the Articles Bell-Rock Lighthouse
"See Mo
ral Philosophy",1,"Mo
ral Philosophy"
See Annales des Arts et Manufactures,1,Annales des Arts et Manufactures
See Chronometer,1,Chronometer
See Inca,1,Inca
See Ady,1,Ady
See Evidence of C,1,Evidence of C
"See the first nine
measures of the second part of that movement",1,"the first nine
measures of the second part of that movement"
See Dipyre,1,Dipyre
"See Bostocks
M",1,"Bostocks
M"
See Less,1,Less
See Leontium,1,Leontium
See also K,1,also K
See the article Herculaneum,1,the article Herculaneum
See also Prodromo,1,also Prodromo
See Parliamentary Report,1,Parliamentary Report
"See further on this subject
the article Man",1,"further on this subject
the article Man"
"See Marshall’s Survey; Boys’s Survey; Brayley’s Beau
ties of England and Wales ; and Hasted’s Kent",1,"Marshall’s Survey; Boys’s Survey; Brayley’s Beau
ties of England and Wales ; and Hasted’s Kent"
See Geometric Descriptive,1,Geometric Descriptive
See Vinci,1,Vinci
See Degrees,1,Degrees
See Prayer),1,Prayer)
"See likewise Dr Wallace’s
Dissertation on the Numbers of Mankind in antient and modern Times",1,"likewise Dr Wallace’s
Dissertation on the Numbers of Mankind in antient and modern Times"
See a more detailed account in the Cosmographe and Description of Albion,1,a more detailed account in the Cosmographe and Description of Albion
"See should have the supremacy over
that of Constantinople",1,"should have the supremacy over
that of Constantinople"
See Animal Kingdom and Botany,1,Animal Kingdom and Botany
"See Hound
and Hunting",1,"Hound
and Hunting"
See Hor,1,Hor
See Negropont,1,Negropont
See Exchequer,1,Exchequer
See Newt,1,Newt
See Gastromancy,1,Gastromancy
"See Repp’s Historical Treatise on Trial by
Jury",1,"Repp’s Historical Treatise on Trial by
Jury"
See St,1,St
"See the article Car
pentry",1,"the article Car
pentry"
See Institute,1,Institute
See the preface to Mr Cory’s Ancient Fragments of the Phoenician,1,the preface to Mr Cory’s Ancient Fragments of the Phoenician
See Loo-Choo,1,Loo-Choo
See Argillite,1,Argillite
See Burning Mirrors,1,Burning Mirrors
See New York,1,New York
See generalization of the same feet by Dr Cheyne,1,generalization of the same feet by Dr Cheyne
See Guinea,1,Guinea
See L Msto,1,L Msto
See Pere Daniel,1,Pere Daniel
See Thecetet,1,Thecetet
See Punishments,1,Punishments
See Carter’s Etchings,1,Carter’s Etchings
See Brabant,1,Brabant
See however the remarks of Francis Junius,1,however the remarks of Francis Junius
See also Becquerel’s Traitd de 1’Electricity,1,also Becquerel’s Traitd de 1’Electricity
See Beria,1,Beria
"See the article y
ci» vol",1,"the article y
ci» vol"
See his Eloge by Fontenelle,1,his Eloge by Fontenelle
See Grey,1,Grey
"See Dr Stuart’s Observations concern-
re’t 6 * ^ ^'aw an^ tBe Constitutional History of Scotland",1,"Dr Stuart’s Observations concern-
re’t 6 * ^ ^'aw an^ tBe Constitutional History of Scotland"
See Blende,1,Blende
"See the ar
ticle Metaphysics",1,"the ar
ticle Metaphysics"
See the introduction to Depping’s Sammlung der besten alien Spanischen Historischen Ritter-und Maurischen Romanzen,1,the introduction to Depping’s Sammlung der besten alien Spanischen Historischen Ritter-und Maurischen Romanzen
See D’Alembert’s Dynamique,1,D’Alembert’s Dynamique
See Zealand,1,Zealand
"See Precis du Systems
Hieroglyphique",1,"Precis du Systems
Hieroglyphique"
See Mortality,1,Mortality
See Princi,1,Princi
See Derham’s Astrothcologia,1,Derham’s Astrothcologia
"See the privileges granted to Go ne am Thenduluhi Paraenesis ad Judices
523",1,"the privileges granted to Go ne am Thenduluhi Paraenesis ad Judices
523"
See Recherches,1,Recherches
See our Essay “ On the Origin of Domestic Poultry,1,our Essay “ On the Origin of Domestic Poultry
See Seceders,1,Seceders
See Legendre,1,Legendre
See a Memoir of Sebastian Cabot,1,a Memoir of Sebastian Cabot
"See Mosheim s
edition of Cudworth’s Intellectual System",1,"Mosheim s
edition of Cudworth’s Intellectual System"
See Newton’s Chronology,1,Newton’s Chronology
See Roman Catholic,1,Roman Catholic
See Muller,1,Muller
See Roof,1,Roof
See Feversham,1,Feversham
"See Humes
Dialogues on Natural Religion",1,"Humes
Dialogues on Natural Religion"
See Casting,1,Casting
"See Cli
mate",1,"Cli
mate"
See Memoirs,1,Memoirs
See Buonaroti,1,Buonaroti
See Drama and Poetry,1,Drama and Poetry
See Schubart’s Leben und Charakter Ulrichs von Hutten,1,Schubart’s Leben und Charakter Ulrichs von Hutten
"See the article
Trigonometry",1,"the article
Trigonometry"
See Chalmers’s Biog,1,Chalmers’s Biog
See an Account of the Rise and Progress of the Beech Oil Invention,1,an Account of the Rise and Progress of the Beech Oil Invention
See Canaries,1,Canaries
"See Plumbago
Grenatite",1,"Plumbago
Grenatite"
See Freind’s History of Physic,1,Freind’s History of Physic
See Professor Lloyd’s Report,1,Professor Lloyd’s Report
See Foggy Isles,1,Foggy Isles
"See Edinburgh Annual Register for 1811; and The
Poetical Remains of the late Dr John Leyden",1,"Edinburgh Annual Register for 1811; and The
Poetical Remains of the late Dr John Leyden"
See § 15,1,§ 15
See Porto Rico,1,Porto Rico
See Wilson’s Illustratiwm of Zoology,1,Wilson’s Illustratiwm of Zoology
See Treason,1,Treason
"See Narrative of a Visit to th
VOL",1,"Narrative of a Visit to th
VOL"
See Dorsch,1,Dorsch
See Genii,1,Genii
"See Dr Richardson’s re
marks",1,"Dr Richardson’s re
marks"
See Mount Orontes,1,Mount Orontes
See page 587,1,page 587
See the article Crusades,1,the article Crusades
"See the arti
cle Ardrah",1,"the arti
cle Ardrah"
See an account of the Life of Mr Ricardo in the Annual Obituary for 1823,1,an account of the Life of Mr Ricardo in the Annual Obituary for 1823
See Jenite,1,Jenite
See Fraser’s Narrative of a Journey into Khorassan,1,Fraser’s Narrative of a Journey into Khorassan
See Virgil,1,Virgil
See article Brahmin,1,article Brahmin
"See also
Account of a Trigonometrical Survey of Britain; Base du
Systeme Metrique",1,"also
Account of a Trigonometrical Survey of Britain; Base du
Systeme Metrique"
See Titze,1,Titze
See Sardinia,1,Sardinia
See also Linnaeus’s Lapland Tour,1,also Linnaeus’s Lapland Tour
"See Dugdale’s
Origines Juridicales",1,"Dugdale’s
Origines Juridicales"
See the articles Barometer,1,the articles Barometer
See the Philosophical Transactions for 17G2 and 1764,1,the Philosophical Transactions for 17G2 and 1764
"See Ana
tomy",1,"Ana
tomy"
See Dr Ferriar’s Illustrations of Sterne,1,Dr Ferriar’s Illustrations of Sterne
See Translations from the Spanish Metrical Romance on the subject of the Cid,1,Translations from the Spanish Metrical Romance on the subject of the Cid
"See Astrono
my and Calendar",1,"Astrono
my and Calendar"
See Gcol,1,Gcol
See note to page 147,1,note to page 147
See also Nicholson's Journal,1,also Nicholson's Journal
See Feboni Histor,1,Feboni Histor
See Hornstone,1,Hornstone
See Strontian,1,Strontian
See Brewery,1,Brewery
See Atmosphere,1,Atmosphere
See l,1,l
See Domain,1,Domain
See an excellent paper on Terrestrial Magnetism,1,an excellent paper on Terrestrial Magnetism
See Fust,1,Fust
See Mayo's Outlines of Human Physiology,1,Mayo's Outlines of Human Physiology
"See also Stoll’s Representations exactement coloriee d'aprts nature des Cigales et dcs Punaisa-
2 In Encyclop",1,"also Stoll’s Representations exactement coloriee d'aprts nature des Cigales et dcs Punaisa-
2 In Encyclop"
See Rosa,1,Rosa
"See Shaw’s Travels; Jackson’s Account of Morocco;
Macgill’s Account of Tunis; Blaquiere’s Letters on Sicily;
Tully’s Letters; Ali Bey’s Travels; Keatinge’s Travels;
Appendix to Robert Adams’s Travels in the Interior of
Africa ; Account of Algiers",1,"Shaw’s Travels; Jackson’s Account of Morocco;
Macgill’s Account of Tunis; Blaquiere’s Letters on Sicily;
Tully’s Letters; Ali Bey’s Travels; Keatinge’s Travels;
Appendix to Robert Adams’s Travels in the Interior of
Africa ; Account of Algiers"
"See Essai sur L’Etude de La Litteratuie-
VOL",1,"Essai sur L’Etude de La Litteratuie-
VOL"
See Gisborough,1,Gisborough
See Rumford’s Essays ; Fournier,1,Rumford’s Essays ; Fournier
"See Townson’s
Travels in Hungary; and Pezzil",1,"Townson’s
Travels in Hungary; and Pezzil"
See Coast,1,Coast
See Kessekil,1,Kessekil
See Note LL,1,Note LL
See Ethiopian Nations,1,Ethiopian Nations
"See Che
mistry",1,"Che
mistry"
See Idiocy,1,Idiocy
See Bute,1,Bute
See the Honourable Roger North's Life of his brother,1,the Honourable Roger North's Life of his brother
"See Me-
moires de VAcademic des Inscript",1,"Me-
moires de VAcademic des Inscript"
"See Au
gury",1,"Au
gury"
See Prussia,1,Prussia
"See Arciix-
TECTURE",1,"Arciix-
TECTURE"
"See Cotton and Manufac
ture",1,"Cotton and Manufac
ture"
See Caithness,1,Caithness
See this tenet defended at length in Watson’s Theological Institutes,1,this tenet defended at length in Watson’s Theological Institutes
See Lavenham,1,Lavenham
See Indian Recreations,1,Indian Recreations
"See Bucha
nan’s Travels",1,"Bucha
nan’s Travels"
See Madeira,1,Madeira
See two anecdotes cited by Colquhoun,1,two anecdotes cited by Colquhoun
See Dr Johnstone’s Memoirs of Farr,1,Dr Johnstone’s Memoirs of Farr
See also vol,1,also vol
See Pottinger’s admirable account of the countries of Belochistan and Sinde,1,Pottinger’s admirable account of the countries of Belochistan and Sinde
See Alum,1,Alum
"See Cran
mer",1,"Cran
mer"
"See Photo
meter",1,"Photo
meter"
See Miscellanea Critica,1,Miscellanea Critica
"See Alum
It is a double salt",1,"Alum
It is a double salt"
"See Inquiry into the Original of our Ideas of Beauty and
Virtue",1,"Inquiry into the Original of our Ideas of Beauty and
Virtue"
See Agincourt,1,Agincourt
See his “ Cours de Contrepoint et de Fugue,1,his “ Cours de Contrepoint et de Fugue
See also his Linrary Companion,1,also his Linrary Companion
See Taller,1,Taller
See Garden,1,Garden
See Mr Miers’ Journey to Chili,1,Mr Miers’ Journey to Chili
"See Dr Stock’s Memoirs of the
Life of Dr Beddoes",1,"Dr Stock’s Memoirs of the
Life of Dr Beddoes"
See Note II,1,Note II
See the article Rhode Island,1,the article Rhode Island
See Tennant’s Indian Recreations,1,Tennant’s Indian Recreations
"See also Sleidan De Statu Religi-
REG
Refraction onis et Reipublicce",1,"also Sleidan De Statu Religi-
REG
Refraction onis et Reipublicce"
See his Harmonicorum linri xii,1,his Harmonicorum linri xii
"See Ro-
mended by medical men as tending to strengthen the hands",1,"Ro-
mended by medical men as tending to strengthen the hands"
See As,1,As
See New England,1,New England
See Berchem,1,Berchem
See Santiago,1,Santiago
"See a paper by Mr Hallam in the
first volume of the Transactions of the Statistical Society",1,"a paper by Mr Hallam in the
first volume of the Transactions of the Statistical Society"
See Report of Lords’ Committee on the Affairs of the East India,1,Report of Lords’ Committee on the Affairs of the East India
See Appendix to Ferguson's Lectures; Repertory of Arts,1,Appendix to Ferguson's Lectures; Repertory of Arts
See Lerwick),1,Lerwick)
See Embalming,1,Embalming
See Camalodunum,1,Camalodunum
"See Bishop Stock’s Memoirs of George
erkeley",1,"Bishop Stock’s Memoirs of George
erkeley"
See Cherinon,1,Cherinon
See also The Canadas,1,also The Canadas
"See Beetjuana
(1",1,"Beetjuana
(1"
See Ccenobite,1,Ccenobite
See Charpentier,1,Charpentier
See Bookbinding,1,Bookbinding
See likewise Gravinae Origines Juris Civilis,1,likewise Gravinae Origines Juris Civilis
"See 
Quiltings",1,"
Quiltings"
See several appellations of Ponies,1,several appellations of Ponies
See Longitude,1,Longitude
See Tea,1,Tea
See Horne’s Introduction,1,Horne’s Introduction
See Plato de Repiin,1,Plato de Repiin
See Ruddiman’s Binliotheca Romana,1,Ruddiman’s Binliotheca Romana
See L'Histoire des quatre Gordiens,1,L'Histoire des quatre Gordiens
"See on this head Commerce and Po
litical Economy",1,"on this head Commerce and Po
litical Economy"
See King-at-arms,1,King-at-arms
See Deed,1,Deed
See Dr Reid’s account of Aristotle’s logic,1,Dr Reid’s account of Aristotle’s logic
See Paley’s Moral Philosophy,1,Paley’s Moral Philosophy
See Brazil,1,Brazil
See Singing,1,Singing
"See Morl»""d’s Churches of Piedmont",1,"Morl»""d’s Churches of Piedmont"
See Coach,1,Coach
See his Diseases of Hot Climates,1,his Diseases of Hot Climates
See Heber’s Journey through the Upper Provinces of India,1,Heber’s Journey through the Upper Provinces of India
See Vincent,1,Vincent
See in Oj>ere di Machiavelli (vol,1,in Oj>ere di Machiavelli (vol
See Sketches of the History of Man,1,Sketches of the History of Man
See Base,1,Base
See Narrative of a Visit to the Court of Sinde; also a Sketch of the History of Cutch,1,Narrative of a Visit to the Court of Sinde; also a Sketch of the History of Cutch
See ,1,
See Lime,1,Lime
"See Lyttleton’s “ Observations on the Conversion of St Paul; a treatise
to which it has been truly said",1,"Lyttleton’s “ Observations on the Conversion of St Paul; a treatise
to which it has been truly said"
"See the
article Music for some notices of similar instruments",1,"the
article Music for some notices of similar instruments"
See Coast Castle,1,Coast Castle
See Gerbert,1,Gerbert
See “ Observations on the Natural History of the Alligator,1,“ Observations on the Natural History of the Alligator
See also Fifth Report,1,also Fifth Report
See Aretin,1,Aretin
See The History of Four-footed Beasts and Serpents,1,The History of Four-footed Beasts and Serpents
See 162,1,162
See Goulianoff,1,Goulianoff
See History of Hydrodynamics,1,History of Hydrodynamics
See Valdo,1,Valdo
See Law of 28th Pluviose,1,Law of 28th Pluviose
See Religious Missions,1,Religious Missions
See Memoirs of Wool,1,Memoirs of Wool
See Dr Thomson’s Account of the Life,1,Dr Thomson’s Account of the Life
See Binlioghaphy,1,Binlioghaphy
See Levelling Staves,1,Levelling Staves
See Levit,1,Levit
"See Deposition*
Depi ivation is of two kinds",1,"Deposition*
Depi ivation is of two kinds"
See Note FF,1,Note FF
See Law of‘20th September 1792,1,Law of‘20th September 1792
See Trochee,1,Trochee
See Guiana,1,Guiana
See Observations surles Aiks des Hymtncmteres,1,Observations surles Aiks des Hymtncmteres
"See Duncomb’s Herefordshire; Marshall’s Rural Eco
nomy ; Lodge’s Sketches; Clark’s General View; and
Brayley and Britton’s Beauties of England",1,"Duncomb’s Herefordshire; Marshall’s Rural Eco
nomy ; Lodge’s Sketches; Clark’s General View; and
Brayley and Britton’s Beauties of England"
See Batavorum Insula,1,Batavorum Insula
See also a summary of Spallanzani’s experiments in Griffith’s Cuvier,1,also a summary of Spallanzani’s experiments in Griffith’s Cuvier
See Home Entomologicce,1,Home Entomologicce
See Itegne Animal; Encyc,1,Itegne Animal; Encyc
See Journal of an Embassy to China,1,Journal of an Embassy to China
See Dr Middleton’s Free Inquiry,1,Dr Middleton’s Free Inquiry
See 3,1,3
"See Dic-
tionnaire Universelle",1,"Dic-
tionnaire Universelle"
See Linra,1,Linra
See Sart,1,Sart
See Archhishop Newcome’s Historical View of the English Binlical Translations,1,Archhishop Newcome’s Historical View of the English Binlical Translations
See Thomas of Ekceldoun,1,Thomas of Ekceldoun
See the Essay on Composition above cited,1,the Essay on Composition above cited
"See also Heyne’s
edition with notes",1,"also Heyne’s
edition with notes"
See 54 Geo,1,54 Geo
"See also Eytelweiris
Handbuch dev Mechanih",1,"also Eytelweiris
Handbuch dev Mechanih"
See Letter of the Secretary of War,1,Letter of the Secretary of War
See Note EE,1,Note EE
See Primogeniture,1,Primogeniture
See Ouroomia,1,Ouroomia
See Professor Powell',1,Professor Powell'
See Bleaching,1,Bleaching
See Fifth Report of a Select Committee on India Affairs,1,Fifth Report of a Select Committee on India Affairs
See Circle,1,Circle
See ^Emilius,1,^Emilius
"See the article Ho
mes",1,"the article Ho
mes"
See the articles Cloud,1,the articles Cloud
See the same exemplitied in what Socrates is made to reply to Callicles in the Gorgias of Plato,1,the same exemplitied in what Socrates is made to reply to Callicles in the Gorgias of Plato
See Anatomy and Physiology,1,Anatomy and Physiology
"See Religion and
Theology",1,"Religion and
Theology"
See Hindostan,1,Hindostan
See Embankment,1,Embankment
"See Pieces originates et procedures
du Proces fait d Robert-Francois Damiens",1,"Pieces originates et procedures
du Proces fait d Robert-Francois Damiens"
See Treatise of Artillery,1,Treatise of Artillery
See the chapter on Book Censors in Professor Beckmann’s History of Inventions,1,the chapter on Book Censors in Professor Beckmann’s History of Inventions
See Salt’s Voyage to Abyssinia,1,Salt’s Voyage to Abyssinia
"See Milburn’s Ori
ental Commerce",1,"Milburn’s Ori
ental Commerce"
See also Dr Ad,1,also Dr Ad
See Gymnasium,1,Gymnasium
See likewise the second edition of his Histona Juris Romani,1,likewise the second edition of his Histona Juris Romani
See Cutlery,1,Cutlery
See First Preliminary Dissertation,1,First Preliminary Dissertation
See Abelard,1,Abelard
"See Scot
land",1,"Scot
land"
"See Mensuration and Sur-
THEOCRITUS",1,"Mensuration and Sur-
THEOCRITUS"
See Price’s British Carpenter,1,Price’s British Carpenter
"See to
Raab",1,"to
Raab"
See Young,1,Young
See Part III,1,Part III
See Marque,1,Marque
"See Milburn’s Oriental ®or|'o
Commerce ; Voyages and Travels of Lord Valentia ; Ha- ^ ia'
milton’s East India Gazetteer?) (f",1,"Milburn’s Oriental ®or|'o
Commerce ; Voyages and Travels of Lord Valentia ; Ha- ^ ia'
milton’s East India Gazetteer?) (f"
"See Life of Hamp
den",1,"Life of Hamp
den"
See Elevation,1,Elevation
See the Evangelical Magazine,1,the Evangelical Magazine
